Date,Ticker,label
2020-06-15,AMD,0
2020-06-15,AMZN,0
2020-06-15,AVGO,0
2020-06-15,AXP,0
2020-06-15,BA,0
2020-06-15,BAC,1
2020-06-15,BKNG,1
2020-06-15,BLK,0
2020-06-15,C,0
2020-06-15,CAT,1
2020-06-15,COST,0
2020-06-15,CRM,0
2020-06-15,CSCO,0
2020-06-15,CVX,1
2020-06-15,DE,0
2020-06-15,DIS,0
2020-06-15,GOOGL,0
2020-06-15,GS,0
2020-06-15,HD,0
2020-06-15,HON,1
2020-06-15,IBM,1
2020-06-15,INTC,0
2020-06-15,INTU,0
2020-06-15,JNJ,0
2020-06-15,JPM,1
2020-06-15,KO,0
2020-06-15,LLY,1
2020-06-15,LULU,0
2020-06-15,MA,0
2020-06-15,MCD,0
2020-06-15,META,0
2020-06-15,MRK,1
2020-06-15,MS,0
2020-06-15,MSFT,0
2020-06-15,MU,0
2020-06-15,NFLX,0
2020-06-15,NKE,0
2020-06-15,NOW,0
2020-06-15,NVDA,0
2020-06-15,ORCL,0
2020-06-15,PANW,0
2020-06-15,PEP,0
2020-06-15,PFE,1
2020-06-15,QCOM,0
2020-06-15,RTX,1
2020-06-15,SBUX,0
2020-06-15,SPY,0
2020-06-15,T,0
2020-06-15,TGT,0
2020-06-15,TMO,0
2020-06-15,TSLA,0
2020-06-15,TXN,0
2020-06-15,UNH,0
2020-06-15,V,0
2020-06-15,WFC,0
2020-06-15,WMT,0
2020-06-15,XOM,1
2020-06-16,AAPL,0
2020-06-16,ABBV,0
2020-06-16,ABT,0
2020-06-16,ADBE,0
2020-06-16,ADI,0
2020-06-16,AMAT,0
2020-06-16,AMD,0
2020-06-16,AMZN,0
2020-06-16,AVGO,0
2020-06-16,AXP,0
2020-06-16,BA,0
2020-06-16,BAC,1
2020-06-16,BKNG,0
2020-06-16,BLK,0
2020-06-16,C,0
2020-06-16,CAT,0
2020-06-16,COST,0
2020-06-16,CRM,0
2020-06-16,CSCO,0
2020-06-16,CVX,0
2020-06-16,DE,0
2020-06-16,DIS,0
2020-06-16,GOOGL,0
2020-06-16,GS,0
2020-06-16,HD,0
2020-06-16,HON,0
2020-06-16,IBM,0
2020-06-16,INTC,0
2020-06-16,INTU,0
2020-06-16,JNJ,0
2020-06-16,JPM,1
2020-06-16,KO,0
2020-06-16,LLY,0
2020-06-16,LULU,0
2020-06-16,MA,0
2020-06-16,MCD,0
2020-06-16,META,0
2020-06-16,MRK,0
2020-06-16,MS,0
2020-06-16,MSFT,0
2020-06-16,MU,0
2020-06-16,NFLX,0
2020-06-16,NKE,0
2020-06-16,NOW,0
2020-06-16,NVDA,0
2020-06-16,ORCL,0
2020-06-16,PANW,0
2020-06-16,PEP,0
2020-06-16,PFE,1
2020-06-16,QCOM,0
2020-06-16,RTX,0
2020-06-16,SBUX,0
2020-06-16,SPY,0
2020-06-16,T,0
2020-06-16,TGT,0
2020-06-16,TMO,0
2020-06-16,TSLA,0
2020-06-16,TXN,0
2020-06-16,UNH,0
2020-06-16,V,0
2020-06-16,WFC,0
2020-06-16,WMT,0
2020-06-16,XOM,1
2020-06-17,AAPL,0
2020-06-17,ABBV,0
2020-06-17,ABT,0
2020-06-17,ADBE,0
2020-06-17,ADI,0
2020-06-17,AMAT,0
2020-06-17,AMD,0
2020-06-17,AMZN,0
2020-06-17,AVGO,0
2020-06-17,AXP,0
2020-06-17,BA,0
2020-06-17,BAC,1
2020-06-17,BKNG,1
2020-06-17,BLK,0
2020-06-17,C,0
2020-06-17,CAT,0
2020-06-17,COST,0
2020-06-17,CRM,0
2020-06-17,CSCO,0
2020-06-17,CVX,1
2020-06-17,DE,0
2020-06-17,DIS,0
2020-06-17,GOOGL,0
2020-06-17,GS,0
2020-06-17,HD,0
2020-06-17,HON,0
2020-06-17,IBM,0
2020-06-17,INTC,0
2020-06-17,INTU,0
2020-06-17,JNJ,0
2020-06-17,JPM,1
2020-06-17,KO,0
2020-06-17,LLY,0
2020-06-17,LULU,0
2020-06-17,MA,0
2020-06-17,MCD,0
2020-06-17,META,0
2020-06-17,MRK,0
2020-06-17,MS,0
2020-06-17,MSFT,0
2020-06-17,MU,0
2020-06-17,NFLX,0
2020-06-17,NKE,0
2020-06-17,NOW,0
2020-06-17,NVDA,0
2020-06-17,ORCL,0
2020-06-17,PANW,0
2020-06-17,PEP,0
2020-06-17,PFE,1
2020-06-17,QCOM,0
2020-06-17,RTX,1
2020-06-17,SBUX,0
2020-06-17,SPY,0
2020-06-17,T,0
2020-06-17,TGT,0
2020-06-17,TMO,0
2020-06-17,TSLA,0
2020-06-17,TXN,0
2020-06-17,UNH,0
2020-06-17,V,0
2020-06-17,WFC,1
2020-06-17,WMT,0
2020-06-17,XOM,1
2020-06-18,AAPL,0
2020-06-18,ABBV,0
2020-06-18,ABT,0
2020-06-18,ADBE,0
2020-06-18,ADI,0
2020-06-18,AMAT,0
2020-06-18,AMD,0
2020-06-18,AMZN,0
2020-06-18,AVGO,0
2020-06-18,AXP,1
2020-06-18,BA,0
2020-06-18,BAC,1
2020-06-18,BKNG,1
2020-06-18,BLK,0
2020-06-18,C,0
2020-06-18,CAT,0
2020-06-18,COST,0
2020-06-18,CRM,0
2020-06-18,CSCO,0
2020-06-18,CVX,1
2020-06-18,DE,0
2020-06-18,DIS,0
2020-06-18,GOOGL,0
2020-06-18,GS,0
2020-06-18,HD,0
2020-06-18,HON,0
2020-06-18,IBM,0
2020-06-18,INTC,0
2020-06-18,INTU,0
2020-06-18,JNJ,0
2020-06-18,JPM,1
2020-06-18,KO,0
2020-06-18,LLY,0
2020-06-18,LULU,0
2020-06-18,MA,0
2020-06-18,MCD,0
2020-06-18,META,0
2020-06-18,MRK,0
2020-06-18,MS,0
2020-06-18,MSFT,0
2020-06-18,MU,0
2020-06-18,NFLX,0
2020-06-18,NKE,0
2020-06-18,NOW,0
2020-06-18,NVDA,0
2020-06-18,ORCL,0
2020-06-18,PANW,0
2020-06-18,PEP,0
2020-06-18,PFE,1
2020-06-18,QCOM,0
2020-06-18,RTX,1
2020-06-18,SBUX,0
2020-06-18,SPY,0
2020-06-18,T,0
2020-06-18,TGT,0
2020-06-18,TMO,0
2020-06-18,TSLA,0
2020-06-18,TXN,0
2020-06-18,UNH,0
2020-06-18,V,0
2020-06-18,WFC,1
2020-06-18,WMT,0
2020-06-18,XOM,1
2020-06-19,AAPL,0
2020-06-19,ABBV,0
2020-06-19,ABT,0
2020-06-19,ADBE,0
2020-06-19,ADI,0
2020-06-19,AMAT,0
